epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,352.965,1.6722,0.23837,0.94812,1.72536,0.066855,0.000166558,0.000166558
2,702.684,1.61637,0.31513,0.95122,1.70837,0.0336828,0.000327726,0.000327726
3,1050.85,1.56967,0.29609,0.9469,1.78581,0.000505181,0.000483395,0.000483395
4,1402.19,1.52706,0.29262,0.93912,1.79757,0.00047525,0.00047525,0.00047525
5,1749.91,1.48246,0.27729,0.92957,1.84009,0.000467,0.000467,0.000467
6,2098.9,1.43911,0.25668,0.92026,1.91589,0.00045875,0.00045875,0.00045875
7,2449.37,1.40331,0.24932,0.91479,1.98208,0.0004505,0.0004505,0.0004505
8,2803.07,1.367,0.26032,0.89192,2.00604,0.00044225,0.00044225,0.00044225
9,3155.69,1.33227,0.23314,0.88559,2.131,0.000434,0.000434,0.000434
10,3505.78,1.30061,0.24214,0.88571,2.1523,0.00042575,0.00042575,0.00042575
11,3854.07,1.26687,0.24445,0.88364,2.15472,0.0004175,0.0004175,0.0004175
12,4202.88,1.23824,0.23411,0.87349,2.2898,0.00040925,0.00040925,0.00040925
